á ぁ
Á あ
à ぃ
À い
ả ぅ
Ả う
ã ぇ
Ã え
ạ ぉ
Ạ お
â か
Â が
ấ き
Ấ ぎ
ầ く
Ầ ぐ
ẩ け
Ẩ げ
ẫ こ
Ẫ ご
ậ さ
Ậ ざ
ă し
Ă じ
ắ す
Ắ ず
ằ せ
Ằ ぜ
ẳ そ
Ẳ ぞ
ẵ た
Ẵ だ
ặ ち
Ặ ぢ
đ っ
Đ つ
é づ
É て
è で
È と
ẻ ど
Ẻ な
ẽ に
Ẽ ぬ
ẹ ね
Ẹ の
ê は
Ê ば
ế ぱ
Ế ひ
ề び
Ề ぴ
ể ふ
Ể ぶ
ễ ぷ
Ễ ビ
ệ へ
Ệ べ
í ぺ
Í ほ
ì ぼ
Ì ぽ
ỉ ま
Ỉ み
ĩ む
Ĩ め
ị も
Ị ゃ
ó や
Ó ゅ
ò ゆ
Ò ょ
ỏ よ
Ỏ ら
õ り
Õ る
ọ れ
Ọ ろ
ô ゎ
Ô わ
ố ゐ
Ố ゑ
ồ を
Ồ ん
ổ ァ
Ổ ア
ỗ ィ
Ỗ イ
ộ ゥ
Ộ ウ
ơ ェ
Ơ エ
ớ ォ
Ớ オ
ờ カ
Ờ ガ
ở キ
Ở ギ
ỡ ク
Ỡ グ
ợ ケ
Ợ ゲ
ú コ
Ú ゴ
ù サ
Ù ザ
ủ シ
Ủ ジ
ũ ス
Ũ ズ
ụ セ
Ụ ゼ
ư ソ
Ư ゾ
ứ タ
Ứ ダ
ừ チ
Ừ ヂ
ử ッ
Ử ツ
ữ ヅ
Ữ テ
ự デ
Ự ト
ý ド
Ý ナ
ỳ ニ
Ỳ ヌ
ỷ ネ
Ỷ ノ
ỹ ハ
Ỹ バ
ỵ パ
Ỵ ヒ
